Question,Condition,GeneratedSQL,ErrorMessage,Result
Which courses are required by more than one major?,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
GROUP BY c.course_name
HAVING COUNT(DISTINCT cu.major_id) > 1;",,"[
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Which majors require both Mathematics for Engineering and Introduction to Computer Science?,"{""role"": ""Student"", ""identity"": []}","SELECT DISTINCT M.major_name
FROM Majors AS M
JOIN Curriculums AS C ON M.major_id = C.major_id
JOIN Courses AS Co ON C.course_id = Co.course_id
WHERE Co.course_name = 'Mathematics for Engineering'
INTERSECT
SELECT DISTINCT M.major_name
FROM Majors AS M
JOIN Curriculums AS C ON M.major_id = C.major_id
JOIN Courses AS Co ON C.course_id = Co.course_id
WHERE Co.course_name = 'Introduction to Computer Science';",,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Show the names and  number of credits of the required courses for the Information Systems major.,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name, c.no_credit
FROM Courses AS c
JOIN Curriculums AS cu ON c.course_id = cu.course_id
WHERE cu.major_id = 'IS';",,"[
  {
    ""course_name"": ""Computer Organization and Architecture"",
    ""no_credit"": ""3""
  },
  {
    ""course_name"": ""Introduction to Computer Science"",
    ""no_credit"": ""3""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)"",
    ""no_credit"": ""3""
  },
  {
    ""course_name"": ""Information System Programming Project"",
    ""no_credit"": ""3""
  },
  {
    ""course_name"": ""Information System Design & Analysis"",
    ""no_credit"": ""3""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": ""3""
  }
]"
Which course is required by the most majors?,"{""role"": ""Student"", ""identity"": []}","SELECT TOP 1 course_id
FROM Curriculums
GROUP BY course_id
ORDER BY COUNT(*) DESC;",,"[
  {
    ""course_id"": ""CEA""
  }
]"
Which required courses for Software Engineering have more than 3 credits?,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name = 'Software Engineering' AND c.no_credit > 3;",,[]
Show the courses not required in Information System major,"{""role"": ""Student"", ""identity"": []}",SELECT c.course_name,"Lỗi MS SQL Server (42000): [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The multi-part identifier ""c.course_name"" could not be bound. (4104) (SQLExecDirectW) executing query: SELECT c.course_name",[]
List my courses in ascending order of the course name,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
JOIN Students s ON m.major_id = s.major_id
JOIN Enrollments e ON s.student_id = e.student_id
WHERE s.student_id = 'HE001'
GROUP BY c.course_name
ORDER BY c.course_name ASC;",,"[
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
List the courses required for my major?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
JOIN Students s ON m.major_id = s.major_id
WHERE s.student_id = 'HE001';",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
List the instructors who taught the courses I have taken,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Enrollments AS E ON CC.class_course_id = E.class_course_id
WHERE E.student_id = 'HE001';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Enrollments AS E ON CC.class_course_id = E.class_course_id
WHERE E.student_id = 'HE001';",[]
Which majors require taking Mathematics for Engineering,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT m.major_name
FROM Majors m
JOIN Curriculums c ON m.major_id = c.major_id
JOIN Courses co ON c.course_id = co.course_id
WHERE co.course_name LIKE '%Mathematics for Engineering%';",,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Find all students enrolled in the same courses as me?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT e2.student_id
FROM Enrollments e1
JOIN ClassCourse cc1 ON e1.class_course_id = cc1.class_course_id
JOIN Enrollments e2 ON cc1.class_course_id = e2.class_course_id
WHERE e1.student_id = 'HE001'
  AND e1.enrollment_id <> e2.enrollment_id;",,"[
  {
    ""student_id"": ""HE002""
  },
  {
    ""student_id"": ""HE003""
  },
  {
    ""student_id"": ""HE004""
  },
  {
    ""student_id"": ""HE005""
  }
]"
Which students share a class with me but are not in my major?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT s.student_id
FROM Enrollments e1
JOIN ClassCourse cc ON e1.class_course_id = cc.class_course_id
JOIN Enrollments e2 ON e2.class_course_id = cc.class_course_id
JOIN Students s ON e2.student_id = s.student_id
WHERE e1.student_id = 'HE001'
  AND s.major_id <> (SELECT major_id FROM Students WHERE student_id = 'HE001');",,[]
Which are the most difficult courses based on the average grades of all students?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
GROUP BY c.course_name
ORDER BY AVG(e.average) ASC;",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Which student has the highest average grade across all their courses?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 WITH TIES s.student_id
FROM Enrollments AS e
JOIN Students AS s ON e.student_id = s.student_id
ORDER BY e.average DESC;",,"[
  {
    ""student_id"": ""HE011""
  }
]"
Which student currently has the highest cumulative GPA?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 WITH TIES  Students.student_id, Students.fullname, AVG(Enrollments.average) AS CumulativeGPA
FROM Enrollments
INNER JOIN Students ON Enrollments.student_id = Students.student_id
GROUP BY Students.student_id, Students.fullname
ORDER BY CumulativeGPA DESC;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT TOP 1 WITH TIES  Students.student_id, Students.fullname, AVG(Enrollments.average) AS CumulativeGPA
FROM Enrollments
INNER JOIN Students ON Enrollments.student_id = Students.student_id
GROUP BY Students.student_id, Students.fullname
ORDER BY CumulativeGPA DESC;",[]
List all classes on Monday this semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.class_id
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE DATENAME(dw, s.start_time) = 'Monday' AND cc.semester = (SELECT TOP 1 semester FROM ClassCourse ORDER BY semester DESC);",,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  }
]"
Calculate total credits I am taking this semester,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT SUM(c.no_credit)
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001' AND cc.semester = (SELECT start_semester FROM Students WHERE student_id = 'HE001');",,"[
  {
    """": 3
  }
]"
What is my GPA?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT e.average FROM Enrollments AS e WHERE e.student_id = 'HE001',,"[
  {
    ""average"": 0.0
  },
  {
    ""average"": 9.5
  },
  {
    ""average"": 0.0
  }
]"
What is my enrollment status in course MAE?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT E.status
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Courses AS C ON CC.course_id = C.course_id
WHERE C.course_id = 'MAE' AND E.student_id = 'HE001';",,"[
  {
    ""status"": ""Passed""
  }
]"
What are my component scores in the MAE subject?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	c.grade_name,
	sgd.grade_value
FROM StudentGradeDetails AS sgd
JOIN CourseGrade AS c
	ON sgd.course_grade_id = c.course_grade_id
JOIN Enrollments AS e
	ON sgd.enrollment_id = e.enrollment_id
JOIN ClassCourse AS cc
	ON e.class_course_id = cc.class_course_id
WHERE
	cc.course_id = 'MAE' AND e.student_id = 'HE001';",,"[
  {
    ""grade_name"": ""Assignment"",
    ""grade_value"": 9.2
  },
  {
    ""grade_name"": ""Final Exam"",
    ""grade_value"": 9.8
  },
  {
    ""grade_name"": ""Progress Test"",
    ""grade_value"": 9.4
  }
]"
What are all the grade components for 'Mathematics for Engineering' and what's the average for each?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT cg.grade_name, AVG(sgd.grade_value) AS average_grade
FROM Courses c
JOIN CourseGrade cg ON c.course_id = cg.course_id
JOIN StudentGradeDetails sgd ON cg.course_grade_id = sgd.course_grade_id
WHERE c.course_name = 'Mathematics for Engineering'
GROUP BY cg.grade_name;",,"[
  {
    ""grade_name"": ""Assignment"",
    ""average_grade"": 7.289999999999999
  },
  {
    ""grade_name"": ""Final Exam"",
    ""average_grade"": 7.87
  },
  {
    ""grade_name"": ""Progress Test"",
    ""average_grade"": 7.83
  }
]"
Which students have a Practical Exam grade higher than 7 in Malware Analysis and Reverse Engineering?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.student_id
FROM Students s
JOIN Enrollments e ON s.student_id = e.student_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN StudentGradeDetails sgd ON e.enrollment_id = sgd.enrollment_id
JOIN CourseGrade cg ON sgd.course_grade_id = cg.course_grade_id
WHERE c.course_name = 'Malware Analysis and Reverse Engineering'
  AND cg.grade_name = 'Practical Exam'
  AND sgd.grade_value > 7;",,"[
  {
    ""student_id"": ""HE011""
  },
  {
    ""student_id"": ""HE012""
  },
  {
    ""student_id"": ""HE013""
  }
]"
Show my Assignment grade for Malware Analysis and Reverse Engineering.,"{""role"": ""Student"", ""identity"": [""HE011""]}","SELECT SGD.grade_value
FROM StudentGradeDetails SGD
JOIN CourseGrade CG ON SGD.course_grade_id = CG.course_grade_id
JOIN Courses C ON CG.course_id = C.course_id
JOIN Enrollments E ON SGD.enrollment_id = E.enrollment_id
WHERE E.student_id = 'HE011'
  AND CG.grade_name = 'Assignment'
  AND C.course_name = 'Malware Analysis and Reverse Engineering';",,"[
  {
    ""grade_value"": 9.0
  }
]"
What's the weight of the Final Exam in Natural Language Processing?,"{""role"": ""Student"", ""identity"": []}",SELECT grade_weight FROM CourseGrade WHERE course_id = (SELECT course_id FROM Courses WHERE course_name = 'Natural Language Processing') AND grade_name = 'Final Exam';,,"[
  {
    ""grade_weight"": 0.3
  }
]"
Show all my grades and their weights in course MAE,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	c.course_name,
	sgd.grade_value,
	cg.grade_weight
FROM
	Enrollments AS e
INNER JOIN
	ClassCourse AS cc
ON
	e.class_course_id = cc.class_course_id
INNER JOIN
	Courses AS c
ON
	cc.course_id = c.course_id
INNER JOIN
	StudentGradeDetails AS sgd
ON
	e.enrollment_id = sgd.enrollment_id
INNER JOIN
	CourseGrade AS cg
ON
	sgd.course_grade_id = cg.course_grade_id
WHERE
	c.course_id = 'MAE'
	AND e.student_id = 'HE001';",,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.2,
    ""grade_weight"": 0.3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.8,
    ""grade_weight"": 0.4
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.4,
    ""grade_weight"": 0.3
  }
]"
Show the course grades and comments for each assignment in MAE for my enrollment,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	c.course_name,
	cg.grade_name,
	sgd.grade_value,
	sgd.comment
FROM
	Enrollments AS e
JOIN
	ClassCourse AS cc
ON
	e.class_course_id = cc.class_course_id
JOIN
	Courses AS c
ON
	cc.course_id = c.course_id
JOIN
	StudentGradeDetails AS sgd
ON
	e.enrollment_id = sgd.enrollment_id
JOIN
	CourseGrade AS cg
ON
	sgd.course_grade_id = cg.course_grade_id
WHERE
	e.student_id = 'HE001'
	AND cc.course_id = 'MAE'
	AND cg.grade_name LIKE '%Assignment%';",,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_name"": ""Assignment"",
    ""grade_value"": 9.2,
    ""comment"": ""Grade Recorded""
  }
]"
Find the average grade for all students in the course MAE,"{""role"": ""Training Manager"", ""identity"": []}","SELECT AVG(E.average) AS AverageGrade
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Courses AS C ON CC.course_id = C.course_id
WHERE C.course_id = 'MAE';",,"[
  {
    ""AverageGrade"": 7.684
  }
]"
Show my enrollement information (include my class and corresponding course) for courses where my average grade is above 8.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT E.enrollment_id, C.class_id, CO.course_id, CO.course_name, E.average
FROM Enrollments AS E
JOIN ClassCourse AS CO ON E.class_course_id = CO.class_course_id
JOIN Classes AS C ON CO.class_id = C.class_id
WHERE E.student_id = 'HE001' AND E.average > 8;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW) executing query: SELECT E.enrollment_id, C.class_id, CO.course_id, CO.course_name, E.average
FROM Enrollments AS E
JOIN ClassCourse AS CO ON E.class_course_id = CO.class_course_id
JOIN Classes AS C ON CO.class_id = C.class_id
WHERE E.student_id = 'HE001' AND E.average > 8;",[]
What is the highest grade value I received in course MAE?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT MAX(sgd.grade_value)
FROM StudentGradeDetails sgd
JOIN CourseGrade cg ON sgd.course_grade_id = cg.course_grade_id
JOIN Courses c ON cg.course_id = c.course_id
JOIN Enrollments e ON sgd.enrollment_id = e.enrollment_id
WHERE c.course_id = 'MAE' AND e.student_id = 'HE001';",,"[
  {
    """": 9.8
  }
]"
What is the average grade value of each of my completed courses/subjects?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT AVG(sgd.grade_value) AS average_grade
FROM StudentGradeDetails sgd
JOIN Enrollments e ON sgd.enrollment_id = e.enrollment_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
WHERE e.student_id = 'HE001'
GROUP BY cc.class_course_id;",,"[
  {
    ""average_grade"": 8.5
  },
  {
    ""average_grade"": 9.466666666666667
  },
  {
    ""average_grade"": 9.066666666666666
  }
]"
What was the course and class information corresponding to my top 5  highest grade?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT TOP 5 c.course_name, cl.class_id
FROM StudentGradeDetails sgd
JOIN Enrollments e ON sgd.enrollment_id = e.enrollment_id
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
WHERE e.student_id = 'HE001'
ORDER BY sgd.grade_value DESC;",,"[
  {
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  }
]"
Which courses have a grade name called Final Exam?,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN CourseGrade cg ON c.course_id = cg.course_id
WHERE cg.grade_name = 'Final Exam';",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
List the grades for the courses I've Passed.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, sgd.grade_value
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
JOIN StudentGradeDetails AS sgd ON e.enrollment_id = sgd.enrollment_id
WHERE e.student_id = 'HE001' AND e.status = 'Passed';",,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.2
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.8
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.4
  }
]"
Which course has the highest number of students passing the subject?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.status = 'Passed'
GROUP BY c.course_name
ORDER BY COUNT(e.enrollment_id) DESC;",,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Show my transcript including course name grade and credits for each course,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, AVG(sgd.grade_value) AS grade, c.no_credit
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
JOIN StudentGradeDetails AS sgd ON e.enrollment_id = sgd.enrollment_id
WHERE e.student_id = 'HE001'
GROUP BY c.course_name, c.no_credit;",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""grade"": 8.5,
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade"": 9.466666666666667,
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""grade"": 9.066666666666666,
    ""no_credit"": 3
  }
]"
Show the academic standing of the students in the classes that I have taught.,"{""role"": ""Lecturer"", ""identity"": [""LEC01""]}","SELECT e.student_id, s.fullname, e.average, e.status
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Students st ON e.student_id = st.student_id
JOIN Users s ON st.student_id = s.user_id
WHERE l.lecturer_id = 'LEC01';",,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE011"",
    ""fullname"": ""Student K"",
    ""average"": 9.7,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE012"",
    ""fullname"": ""Student L"",
    ""average"": 6.87,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE013"",
    ""fullname"": ""Student M"",
    ""average"": 7.0,
    ""status"": ""Attendance Failure""
  },
  {
    ""student_id"": ""HE014"",
    ""fullname"": ""Student N"",
    ""average"": 6.33,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE015"",
    ""fullname"": ""Student O"",
    ""average"": 8.0,
    ""status"": ""Passed""
  }
]"
Show all class schedules this semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot, cc.class_id, c.course_id
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    ""schedule_id"": ""AI01_AIL_1"",
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 1,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_2"",
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 2,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_3"",
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 3,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_4"",
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 4,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_AIL_5"",
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 5,
    ""class_id"": ""AI01"",
    ""course_id"": ""AIL""
  },
  {
    ""schedule_id"": ""AI01_NLP_1"",
    ""start_time"": ""2025-01-06T10:00:00"",
    ""end_time"": ""2025-01-06T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 1,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_2"",
    ""start_time"": ""2025-01-08T07:30:00"",
    ""end_time"": ""2025-01-08T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 2,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_3"",
    ""start_time"": ""2025-01-13T10:00:00"",
    ""end_time"": ""2025-01-13T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 3,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_4"",
    ""start_time"": ""2025-01-15T07:30:00"",
    ""end_time"": ""2025-01-15T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 4,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""AI01_NLP_5"",
    ""start_time"": ""2025-01-20T10:00:00"",
    ""end_time"": ""2025-01-20T12:20:00"",
    ""room"": ""R003"",
    ""slot"": 5,
    ""class_id"": ""AI01"",
    ""course_id"": ""NLP""
  },
  {
    ""schedule_id"": ""IA01_IAM_1"",
    ""start_time"": ""2025-01-06T12:50:00"",
    ""end_time"": ""2025-01-06T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 1,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_2"",
    ""start_time"": ""2025-01-08T15:20:00"",
    ""end_time"": ""2025-01-08T17:40:00"",
    ""room"": ""R004"",
    ""slot"": 2,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_3"",
    ""start_time"": ""2025-01-13T12:50:00"",
    ""end_time"": ""2025-01-13T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 3,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_4"",
    ""start_time"": ""2025-01-15T15:20:00"",
    ""end_time"": ""2025-01-15T17:40:00"",
    ""room"": ""R004"",
    ""slot"": 4,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  },
  {
    ""schedule_id"": ""IA01_IAM_5"",
    ""start_time"": ""2025-01-20T12:50:00"",
    ""end_time"": ""2025-01-20T15:10:00"",
    ""room"": ""R004"",
    ""slot"": 5,
    ""class_id"": ""IA01"",
    ""course_id"": ""IAM""
  }
]"
Show the schedule for classes on September 9th 2024.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.*
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
WHERE CAST(s.start_time AS DATE) = '2024-09-09';",,"[
  {
    ""schedule_id"": ""AI01_MAE_1"",
    ""class_course_id"": ""AI01_MAE"",
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002"",
    ""slot"": 1
  },
  {
    ""schedule_id"": ""IA01_MAE_1"",
    ""class_course_id"": ""IA01_MAE"",
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R003"",
    ""slot"": 1
  }
]"
How many classes are held room 'R001' in this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT s.class_course_id)
FROM Schedules AS s
JOIN ClassCourse AS cc ON s.class_course_id = cc.class_course_id
WHERE s.room = 'R001' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    """": 1
  }
]"
